,WeekID,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart,Date,Song ID,Link,Artist
23,7/30/66,12,Paperback Writer,The Beatles,6,1,8,,Paperback Writer The Beatles,spotify:track:0Ui8KPWZbJJQ2Y0CIQuVqX,The Beatles
24,4/15/67,12,Penny Lane,The Beatles,6,1,8,,Penny Lane The Beatles,spotify:track:1h04XMpzGzmAudoI6VHBgA,The Beatles
821,8/2/58,1,Poor Little Fool,Ricky Nelson,,1,1,,Poor Little Fool Ricky Nelson,spotify:track:5ayybTSXNwcarDtxQKqvWX,Ricky Nelson
822,12/2/95,1,One Sweet Day,Mariah Carey & Boyz II Men,,1,1,,One Sweet Day Mariah Carey & Boyz II Men,spotify:track:4NvqyP8zZjDEDiDrzOhacV,John Troutman
823,10/11/97,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,1,1,,Candle In The Wind 1997/Something About The Way You Look Tonight Elton John,spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Elton John
824,7/1/06,1,Do I Make You Proud,Taylor Hicks,,1,1,,Do I Make You Proud Taylor Hicks,spotify:track:3lxFENvLW8nxXAbNfkZ7IJ,Taylor Hicks
825,10/24/09,1,3,Britney Spears,,1,1,,3 Britney Spears,spotify:track:6pymOcrCnMuCWdgGVTvUgP,Britney Spears
826,2/26/11,1,Born This Way,Lady Gaga,,1,1,,Born This Way Lady Gaga,spotify:track:6r2BECwMgEoRb5yLfp0Hca,Lady Gaga
827,3/3/12,1,Part Of Me,Katy Perry,,1,1,,Part Of Me Katy Perry,spotify:track:1nZzRJbFvCEct3uzu04ZoL,Katy Perry
828,9/6/14,1,Shake It Off,Taylor Swift,,1,1,,Shake It Off Taylor Swift,spotify:track:5xTtaWoae3wi06K5WfVUUH,Taylor Swift
829,2/20/16,1,Pillowtalk,Zayn,,1,1,,Pillowtalk Zayn,spotify:track:0PDUDa38GO8lMxLCRc4lL1,ZAYN
830,5/28/16,1,Can't Stop The Feeling!,Justin Timberlake,,1,1,,Can't Stop The Feeling! Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake
831,1/28/17,1,Shape Of You,Ed Sheeran,,1,1,,Shape Of You Ed Sheeran,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran
832,11/17/18,1,"Thank U, Next",Ariana Grande,,1,1,,"Thank U, Next Ariana Grande",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande
833,2/2/19,1,7 Rings,Ariana Grande,,1,1,,7 Rings Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande
834,3/16/19,1,Sucker,Jonas Brothers,,1,1,,Sucker Jonas Brothers,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers
3465,9/16/89,1,Don't Wanna Lose You,Gloria Estefan,3,1,11,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3466,9/23/89,6,Don't Wanna Lose You,Gloria Estefan,1,1,12,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3467,9/30/89,9,Don't Wanna Lose You,Gloria Estefan,6,1,13,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3468,10/7/89,22,Don't Wanna Lose You,Gloria Estefan,9,1,14,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3469,10/14/89,32,Don't Wanna Lose You,Gloria Estefan,22,1,15,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3470,10/21/89,48,Don't Wanna Lose You,Gloria Estefan,32,1,16,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3471,10/28/89,60,Don't Wanna Lose You,Gloria Estefan,48,1,17,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3472,11/4/89,84,Don't Wanna Lose You,Gloria Estefan,60,1,18,,Don't Wanna Lose You Gloria Estefan,spotify:track:4tEpvocDTdNVR9DYxnJTFy,Gloria Estefan
3638,9/24/88,1,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,4,1,9,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3639,10/1/88,1,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,1,1,10,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3640,10/8/88,3,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,1,1,11,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3641,10/15/88,6,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,3,1,12,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3642,10/22/88,17,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,6,1,13,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3643,10/29/88,24,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,17,1,14,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3644,11/5/88,29,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,24,1,15,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3645,11/12/88,41,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,29,1,16,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3646,11/19/88,57,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,41,1,17,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3647,11/26/88,67,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,57,1,18,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3648,12/3/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,67,1,19,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3649,12/10/88,79,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,20,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3650,12/17/88,75,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,79,1,21,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3651,12/24/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,75,1,22,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3652,12/31/88,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,23,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3653,1/7/89,73,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,24,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3654,1/14/89,69,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,73,1,25,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3655,1/21/89,87,"Don't Worry, Be Happy (From Cocktail)",Bobby McFerrin,69,1,26,,"Don't Worry, Be Happy (From Cocktail) Bobby McFerrin",,
3703,5/18/85,1,Don't You (Forget About Me),Simple Minds,3,1,13,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
3704,5/25/85,2,Don't You (Forget About Me),Simple Minds,1,1,14,,Don't You (Forget About Me) Simple Minds,spotify:track:3fH4KjXFYMmljxrcGrbPj9,Simple Minds
